name	human	mouse
Neuronal_marker	GADD45A	Gadd45a
Neural Crest	NEAT1	Neat1
Astrocyte	S100B	S100b
Ion_channels_general	KCNQ3	Kcnq3
Calcium_ion_channel	CACNA1I	Cacna1i
Chloride_ion_channel	ANO8	Ano8
Potassium_ion_channel	KCNB1	Kcnb1
Sodium_ion_channel	SCN1A	Scn1a
Voltage_gated_ion_channel	CACNA1I	Cacna1i
Gap_junction_proteins	GJA9	NA
Ligand_gated_ion_channels	CHRNA9	Chrna9
Porins	AQP5	Aqp5
Cortical_neuron	SOX11	Sox11
Sesory_neuron	TRPV1	Trpv1
Nociceptor	TRPV1	Trpv1
Glia	HMGB2	Hmgb2
Lower_cortical_neuron	GRIA2	Gria2
Upper_cortical_neuron	DOK5	Dok5
Housekeeping	C3orf49	Gm11100
Stress_panel	CASP1	Casp1
Cell_cycle_G2M_phase	BCLAF1	Bclaf1
Cell_cycle_S_phase	BMI1	Bmi1
Early_marker	JARID2	Jarid2
Late_neural_progenitor	FZD5	Fzd5
Late_neural_progenitor_proteomics	PRTG	Prtg
Neural_progenitor_proteomics	DPYSL5	Dpysl5
Transient_neuronal_regulation	FZD7	Fzd7
Pluripotency	NANOG	Nanog
Ectoderm	NCAM1	Ncam1
Endoderm	FABP2	Fabp2
Mesoderm	IL6ST	Il6st
Neuronal_marker	GPC3	Gpc3
Neural Crest	NEUROG1	Neurog1
Ion_channels_general	P2RX3	P2rx3
Calcium_ion_channel	CACNA1S	Cacna1s
Chloride_ion_channel	ANO9	Ano9
Potassium_ion_channel	KCNB2	Kcnb2
Sodium_ion_channel	SCN1B	Scn1b
Voltage_gated_ion_channel	CACNA1S	Cacna1s
Gap_junction_proteins	GJB1	Gjb1
Ligand_gated_ion_channels	CHRNB1	Chrnb1
Porins	AQP6	Aqp6
Cortical_neuron	SOX2	Sox2
Sesory_neuron	NEFH	Nefh
Nociceptor	NTRK1	Ntrk1
Glia	HMGN3	Hmgn3
Lower_cortical_neuron	LMO3	Lmo3
Upper_cortical_neuron	GABBR2	Gabbr2
Housekeeping	CCAR1	Ccar1
Stress_panel	CDKN1A	Cdkn1a
Cell_cycle_G2M_phase	BORA	Bora
Cell_cycle_S_phase	BRCA1	Brca1
Early_marker	KRT14	Krt14
Late_neural_progenitor	ID1	Id1
Late_neural_progenitor_proteomics	PWP2	Pwp2
Neural_progenitor_proteomics	EML1	Eml1
Transient_neuronal_regulation	LECT1	NA
Pluripotency	PODXL	Podxl
Ectoderm	NES	Nes
Endoderm	FOXA1	Foxa1
Mesoderm	NPPB	Nppb
Neuronal_marker	GRHL3	Grhl3
Neural Crest	PAX3	Pax3
Ion_channels_general	SCN10A	Scn10a
Calcium_ion_channel	CACNA2D1	Cacna2d1
Chloride_ion_channel	BSND	Bsnd
Potassium_ion_channel	KCNC1	Kcnc1
Sodium_ion_channel	SCN2A	Scn2a
Voltage_gated_ion_channel	CACNA2D1	Cacna2d1
Gap_junction_proteins	GJB2	Gjb2
Ligand_gated_ion_channels	CHRNB2	Chrnb2
Porins	AQP7	Aqp7
Cortical_neuron	SOX4	Sox4
Sesory_neuron	CHODL	Chodl
Nociceptor	RUNX1	Runx1
Glia	ID4	Id4
Lower_cortical_neuron	LY6H	Ly6h
Upper_cortical_neuron	GAP43	Gap43
Housekeeping	CCDC125	Ccdc125
Stress_panel	CHEK1	Chek1
Cell_cycle_G2M_phase	BRD8	Brd8
Cell_cycle_S_phase	BRIP1	Brip1
Early_marker	KRT18	Krt18
Late_neural_progenitor	ILDR2	Ildr2
